  Line,  Analysis,             Time Code,           Port,  Inj Nr,  d(17_16)Mean,  d(18_16)Mean,    d(D_H)Mean,      E17_Mean,      H2O_Mean,  Ignore, Good,                            Identifier 1,                            Identifier 2,   Gas Configuration,Timestamp Mean,   d(17_16)_SD,   d(18_16)_SD,     d(D_H)_SD,        E17_SD,        H2O_SD,   d(18_16)_Sl,     d(D_H)_Sl,        H2O_Sl,baseline_shift,   slope_shift,     residuals,baseline_curvature,      interval,       ch4_ppm,  h16od_adjust,   h16od_shift,n2_flag,      DAS Temp,      Tray,  Sample,     Job,    Method,Error Code,Pulse Good
   101,    P-2465,   2024/08/28 00:09:38,           1-03,      11,       -12.922,       -18.393,       -24.074,        -3.204,         19625,       0,    1,                                   OH_34,                                  SAMPLE,                 H2O, 1724804053.31,         0.237,         0.187,         0.367,         0.170,        94.565,         0.001,         0.001,         1.512,       105.802,        12.044,         2.735,       137.670,         1.024,         1.236,        0.0000,       -0.0001,    1,        44.438,         1,       3,       2,20kPPM_O17_Single_Stroke,       0,       1
   102,    P-2465,   2024/08/28 00:18:52,           1-03,      12,       -12.959,       -18.399,       -23.988,        -3.239,         19534,       0,    1,                                   OH_34,                                  SAMPLE,                 H2O, 1724804607.71,         0.215,         0.158,         0.379,         0.163,        94.117,         0.000,         0.004,         1.512,       105.270,        11.968,         2.728,       137.042,         1.026,         1.304,        0.0000,       -0.0000,    1,        44.438,         1,       3,       2,20kPPM_O17_Single_Stroke,       0,       1
   103,    P-2465,   2024/08/28 00:28:08,           1-03,      13,       -12.983,       -18.412,       -24.004,        -3.256,         19548,       0,    1,                                   OH_34,                                  SAMPLE,                 H2O, 1724805162.65,         0.223,         0.176,         0.334,         0.162,        93.709,         0.001,         0.002,         1.492,       105.242,        12.071,         2.740,       137.400,         1.024,         1.406,       -0.0000,       -0.0000,    1,        44.438,         1,       3,       2,20kPPM_O17_Single_Stroke,       0,       1
   104,    P-2465,   2024/08/28 00:37:22,           1-03,      14,       -12.957,       -18.375,       -24.073,        -3.250,         19578,       0,    1,                                   OH_34,                                  SAMPLE,                 H2O, 1724805713.39,         0.218,         0.165,         0.286,         0.158,        91.084,        -0.000,         0.000,         1.521,       105.589,        12.016,         2.722,       136.803,         1.025,         1.200,       -0.0000,        0.0000,    1,        44.438,         1,       3,       2,20kPPM_O17_Single_Stroke,       0,       1
   105,    P-2465,   2024/08/28 00:46:37,           1-03,      15,       -12.904,       -18.287,       -23.991,        -3.243,         19434,       0,    1,                                   OH_34,                                  SAMPLE,                 H2O, 1724806272.46,         0.218,         0.165,         0.311,         0.160,        92.376,         0.000,         0.001,         1.484,       104.817,        11.803,         2.706,       135.900,         1.026,         1.215,        0.0000,        0.0001,    1,        44.500,         1,       3,       2,20kPPM_O17_Single_Stroke,       0,       1
   106,    P-2465,   2024/08/28 00:55:54,           1-03,      16,       -13.012,       -18.404,       -24.072,        -3.289,         19491,       0,    1,                                   OH_34,                                  SAMPLE,                 H2O, 1724806828.63,         0.235,         0.183,         0.345,         0.170,        93.733,        -0.001,         0.001,         1.506,       104.975,        12.187,         2.709,       136.193,         1.026,         1.325,       -0.0000,        0.0000,    1,        44.438,         1,       3,       2,20kPPM_O17_Single_Stroke,       0,       1
   107,    P-2465,   2024/08/28 01:05:09,           1-03,      17,       -12.973,       -18.368,       -24.107,        -3.269,         19482,       0,    1,                                   OH_34,                                  SAMPLE,                 H2O, 1724807384.19,         0.234,         0.174,         0.345,         0.173,        95.154,        -0.000,         0.000,         1.520,       105.028,        11.925,         2.713,       136.333,         1.025,         1.232,       -0.0000,        0.0000,    1,        44.438,         1,       3,       2,20kPPM_O17_Single_Stroke,       0,       1
   108,    P-2465,   2024/08/28 01:14:24,           1-03,      18,       -12.986,       -18.393,       -24.076,        -3.270,         19558,       0,    1,                                   OH_34,                                  SAMPLE,                 H2O, 1724807939.33,         0.234,         0.184,         0.320,         0.163,        96.236,        -0.001,         0.001,         1.544,       105.290,        11.838,         2.760,       138.231,         1.024,         1.501,        0.0000,        0.0000,    1,        44.438,         1,       3,       2,20kPPM_O17_Single_Stroke,       0,       1
   109,    P-2465,   2024/08/28 01:23:39,           1-03,      19,       -12.976,       -18.426,       -24.190,        -3.242,         19590,       0,    1,                                   OH_34,                                  SAMPLE,                 H2O, 1724808494.48,         0.213,         0.169,         0.289,         0.150,        93.666,         0.000,         0.001,         1.499,       105.557,        12.095,         2.733,       137.452,         1.027,         1.324,       -0.0000,       -0.0001,    1,        44.438,         1,       3,       2,20kPPM_O17_Single_Stroke,       0,       1
   110,    P-2465,   2024/08/28 01:32:55,           1-03,      20,       -12.975,       -18.354,       -24.036,        -3.279,         19605,       0,    1,                                   OH_34,                                  SAMPLE,                 H2O, 1724809049.53,         0.226,         0.181,         0.313,         0.154,        94.578,        -0.000,         0.001,         1.514,       105.671,        11.854,         2.754,       137.823,         1.025,         1.433,       -0.0000,        0.0000,    1,        44.438,         1,       3,       2,20kPPM_O17_Single_Stroke,       0,       1
   111,    P-2465,   2024/08/28 01:42:10,           1-03,      21,       -12.999,       -18.420,       -24.151,        -3.268,         19514,       0,    1,                                   OH_34,                                  SAMPLE,                 H2O, 1724809604.58,         0.211,         0.163,         0.309,         0.154,        94.565,        -0.000,        -0.001,         1.505,       105.097,        12.007,         2.730,       136.990,         1.026,         1.364,       -0.0000,       -0.0000,    1,        44.438,         1,       3,       2,20kPPM_O17_Single_Stroke,       0,       1
   112,    P-2465,   2024/08/28 01:51:25,           1-03,      22,       -12.997,       -18.395,       -24.195,        -3.279,         19523,       0,    1,                                   OH_34,                                  SAMPLE,                 H2O, 1724810160.25,         0.230,         0.179,         0.306,         0.162,        95.000,        -0.000,         0.000,         1.517,       105.118,        12.030,         2.735,       137.249,         1.025,         1.422,        0.0000,       -0.0000,    1,        44.438,         1,       3,       2,20kPPM_O17_Single_Stroke,       0,       1
   113,    P-2465,   2024/08/28 02:00:42,           1-03,      23,       -12.957,       -18.376,       -24.187,        -3.249,         19485,       0,    1,                                   OH_34,                                  SAMPLE,                 H2O, 1724810717.22,         0.210,         0.170,         0.318,         0.150,        95.273,         0.000,         0.002,         1.524,       104.959,        12.086,         2.710,       136.373,         1.025,         1.308,       -0.0000,       -0.0000,    1,        44.375,         1,       3,       2,20kPPM_O17_Single_Stroke,       0,       1
   114,    P-2465,   2024/08/28 02:09:57,           1-03,      24,       -12.989,       -18.372,       -24.164,        -3.284,         19554,       0,    1,                                   OH_34,                                  SAMPLE,                 H2O, 1724811268.39,         0.232,         0.172,         0.358,         0.169,        91.716,        -0.000,         0.001,         1.530,       105.371,        11.811,         2.749,       137.624,         1.025,         1.400,        0.0000,        0.0000,    1,        44.438,         1,       3,       2,20kPPM_O17_Single_Stroke,       0,       1
   115,    P-2465,   2024/08/28 02:19:13,           1-03,      25,       -12.984,       -18.387,       -24.163,        -3.270,         19577,       0,    1,                                   OH_34,                                  SAMPLE,                 H2O, 1724811828.50,         0.204,         0.166,         0.332,         0.136,        91.704,        -0.000,        -0.000,         1.468,       105.532,        11.875,         2.743,       137.455,         1.028,         1.325,       -0.0000,        0.0000,    1,        44.438,         1,       3,       2,20kPPM_O17_Single_Stroke,       0,       1
   116,    P-2465,   2024/08/28 02:28:29,           1-03,      26,       -12.955,       -18.337,       -24.090,        -3.268,         19502,       0,    1,                                   OH_34,                                  SAMPLE,                 H2O, 1724812383.99,         0.222,         0.170,         0.336,         0.168,        91.347,         0.001,         0.001,         1.456,       105.107,        11.775,         2.736,       137.111,         1.025,         1.400,       -0.0000,        0.0000,    1,        44.438,         1,       3,       2,20kPPM_O17_Single_Stroke,       0,       1
   117,    P-2465,   2024/08/28 02:37:44,           1-03,      27,       -12.911,       -18.338,       -24.138,        -3.223,         19515,       0,    1,                                   OH_34,                                  SAMPLE,                 H2O, 1724812939.25,         0.233,         0.178,         0.357,         0.170,        94.712,         0.000,         0.002,         1.508,       105.190,        11.844,         2.731,       137.115,         1.026,         1.296,       -0.0000,        0.0000,    1,        44.438,         1,       3,       2,20kPPM_O17_Single_Stroke,       0,       1
   118,    P-2465,   2024/08/28 02:46:59,           1-03,      28,       -12.992,       -18.385,       -24.159,        -3.279,         19411,       0,    1,                                   OH_34,                                  SAMPLE,                 H2O, 1724813495.12,         0.213,         0.165,         0.278,         0.149,        93.152,        -0.000,         0.001,         1.493,       104.567,        11.900,         2.713,       136.188,         1.023,         1.340,       -0.0000,        0.0000,    1,        44.438,         1,       3,       2,20kPPM_O17_Single_Stroke,       0,       1
   119,    P-2465,   2024/08/28 02:56:15,           1-03,      29,       -12.961,       -18.371,       -24.241,        -3.256,         19556,       0,    1,                                   OH_34,                                  SAMPLE,                 H2O, 1724814049.55,         0.239,         0.181,         0.325,         0.166,        94.550,         0.000,         0.001,         1.503,       105.454,        12.087,         2.715,       136.498,         1.026,         1.214,        0.0000,        0.0000,    1,        44.438,         1,       3,       2,20kPPM_O17_Single_Stroke,       0,       1
   120,    P-2465,   2024/08/28 03:05:30,           1-03,      30,       -12.990,       -18.389,       -24.173,        -3.275,         19551,       0,    1,                                   OH_34,                                  SAMPLE,                 H2O, 1724814605.30,         0.227,         0.175,         0.292,         0.161,        95.563,        -0.001,        -0.000,         1.535,       105.387,        11.902,         2.736,       137.144,         1.028,         1.351,        0.0000,        0.0000,    1,        44.438,         1,       3,       2,20kPPM_O17_Single_Stroke,       0,       1
   121,    P-2465,   2024/08/28 03:14:44,           1-03,      31,       -12.972,       -18.382,       -24.257,        -3.261,         19570,       0,    1,                                   OH_34,                                  SAMPLE,                 H2O, 1724815159.06,         0.223,         0.175,         0.294,         0.157,        94.690,        -0.000,         0.001,         1.516,       105.472,        11.979,         2.729,       137.372,         1.025,         1.330,        0.0000,       -0.0000,    1,        44.438,         1,       3,       2,20kPPM_O17_Single_Stroke,       0,       1
   122,    P-2465,   2024/08/28 03:23:59,           1-03,      32,       -12.981,       -18.389,       -24.177,        -3.267,         19510,       0,    1,                                   OH_34,                                  SAMPLE,                 H2O, 1724815714.08,         0.207,         0.161,         0.299,         0.151,        93.656,        -0.000,         0.000,         1.504,       105.103,        12.007,         2.723,       136.724,         1.025,         1.333,        0.0000,        0.0000,    1,        44.438,         1,       3,       2,20kPPM_O17_Single_Stroke,       0,       1
   123,    P-2465,   2024/08/28 03:33:14,           1-03,      33,       -12.963,       -18.379,       -24.284,        -3.253,         19516,       0,    1,                                   OH_34,                                  SAMPLE,                 H2O, 1724816264.98,         0.222,         0.177,         0.314,         0.165,        93.533,        -0.001,        -0.002,         1.562,       105.192,        12.077,         2.710,       136.281,         1.025,         1.211,        0.0000,        0.0000,    1,        44.438,         1,       3,       2,20kPPM_O17_Single_Stroke,       0,       1
   124,    P-2465,   2024/08/28 03:42:29,           1-03,      34,       -12.971,       -18.351,       -24.212,        -3.276,         19483,       0,    1,                                   OH_34,                                  SAMPLE,                 H2O, 1724816824.32,         0.226,         0.183,         0.342,         0.158,        94.938,        -0.000,         0.000,         1.512,       104.979,        12.020,         2.710,       136.284,         1.023,         1.291,        0.0000,        0.0000,    1,        44.375,         1,       3,       2,20kPPM_O17_Single_Stroke,       0,       1
   125,    P-2465,   2024/08/28 03:51:44,           1-03,      35,       -12.940,       -18.337,       -24.227,        -3.253,         19528,       0,    1,                                   OH_34,                                  SAMPLE,                 H2O, 1724817379.42,         0.231,         0.175,         0.337,         0.161,        94.221,         0.000,         0.001,         1.501,       105.260,        11.874,         2.732,       137.104,         1.026,         1.372,        0.0000,        0.0000,    1,        44.375,         1,       3,       2,20kPPM_O17_Single_Stroke,       0,       1
   126,    P-2465,   2024/08/28 04:00:59,           1-03,      36,       -12.950,       -18.372,       -24.277,        -3.244,         19481,       0,    1,                                   OH_34,                                  SAMPLE,                 H2O, 1724817934.09,         0.226,         0.175,         0.318,         0.159,        94.566,        -0.000,        -0.000,         1.509,       104.976,        11.987,         2.708,       136.469,         1.024,         1.285,       -0.0000,        0.0000,    1,        44.375,         1,       3,       2,20kPPM_O17_Single_Stroke,       0,       1
   127,    P-2465,   2024/08/28 04:10:14,           1-03,      37,       -12.976,       -18.378,       -24.175,        -3.267,         19539,       0,    1,                                   OH_34,                                  SAMPLE,                 H2O, 1724818488.80,         0.235,         0.174,         0.348,         0.169,        93.551,         0.000,         0.002,         1.502,       105.298,        12.076,         2.716,       136.594,         1.023,         1.298,        0.0000,        0.0000,    1,        44.375,         1,       3,       2,20kPPM_O17_Single_Stroke,       0,       1
   128,    P-2465,   2024/08/28 04:19:29,           1-03,      38,       -12.974,       -18.373,       -24.275,        -3.267,         19496,       0,    1,                                   OH_34,                                  SAMPLE,                 H2O, 1724819040.21,         0.232,         0.177,         0.327,         0.162,        92.477,        -0.000,         0.001,         1.545,       105.104,        11.719,         2.736,       137.226,         1.027,         1.358,        0.0000,        0.0000,    1,        44.375,         1,       3,       2,20kPPM_O17_Single_Stroke,       0,       1
   129,    P-2465,   2024/08/28 04:28:44,           1-03,      39,       -12.951,       -18.385,       -24.316,        -3.238,         19545,       0,    1,                                   OH_34,                                  SAMPLE,                 H2O, 1724819599.36,         0.232,         0.168,         0.317,         0.173,        94.114,        -0.000,        -0.000,         1.516,       105.268,        12.019,         2.736,       137.363,         1.026,         1.384,       -0.0000,       -0.0000,    1,        44.375,         1,       3,       2,20kPPM_O17_Single_Stroke,       0,       1
   130,    P-2465,   2024/08/28 04:37:59,           1-03,      40,       -12.986,       -18.414,       -24.321,        -3.258,         19534,       0,    1,                                   OH_34,                                  SAMPLE,                 H2O, 1724820150.04,         0.206,         0.154,         0.312,         0.155,        92.840,        -0.000,         0.001,         1.549,       105.223,        12.106,         2.717,       136.891,         1.027,         1.285,       -0.0000,       -0.0000,    1,        44.375,         1,       3,       2,20kPPM_O17_Single_Stroke,       0,       1
   131,    P-2466,   2024/08/28 04:47:14,           1-04,       1,       -15.368,       -22.931,       -47.008,        -3.239,         19195,      -1,    1,                                     M10,                                     SPY,                 H2O, 1724820709.51,         0.216,         0.170,         0.316,         0.153,        94.588,         0.001,         0.001,         1.500,       103.365,        12.161,         2.652,       133.445,         1.024,         1.227,        0.0000,        0.0000,    1,        44.438,         1,       4,       2,20kPPM_O17_Single_Stroke,       0,       1
   132,    P-2466,   2024/08/28 04:56:30,           1-04,       2,       -15.415,       -23.053,       -48.119,        -3.221,         19290,      -1,    1,                                     M10,                                     SPY,                 H2O, 1724821264.88,         0.237,         0.179,         0.324,         0.167,        92.905,         0.000,         0.001,         1.490,       103.883,        12.071,         2.678,       134.705,         1.022,         1.283,       -0.0000,       -0.0000,    1,        44.438,         1,       4,       2,20kPPM_O17_Single_Stroke,       0,       1
   133,    P-2466,   2024/08/28 05:05:45,           1-04,       3,       -15.443,       -23.036,       -48.235,        -3.258,         19558,      -1,    1,                                     M10,                                     SPY,                 H2O, 1724821819.90,         0.232,         0.170,         0.333,         0.165,        95.855,        -0.000,         0.002,         1.532,       105.420,        12.232,         2.716,       136.140,         1.025,         1.276,       -0.0000,        0.0000,    1,        44.375,         1,       4,       2,20kPPM_O17_Single_Stroke,       0,       1
   134,    P-2466,   2024/08/28 05:15:01,           1-04,       4,       -15.461,       -23.080,       -48.364,        -3.252,         19520,       0,    1,                                     M10,                                     SPY,                 H2O, 1724822376.00,         0.219,         0.177,         0.342,         0.152,        96.134,        -0.000,         0.002,         1.540,       105.093,        11.996,         2.744,       137.316,         1.024,         1.512,        0.0000,       -0.0000,    1,        44.375,         1,       4,       2,20kPPM_O17_Single_Stroke,       0,       1
   135,    P-2466,   2024/08/28 05:24:16,           1-04,       5,       -15.461,       -23.051,       -48.390,        -3.268,         19595,       0,    1,                                     M10,                                     SPY,                 H2O, 1724822931.38,         0.209,         0.171,         0.340,         0.149,        96.561,         0.000,         0.003,         1.528,       105.600,        12.110,         2.743,       137.117,         1.024,         1.429,       -0.0000,        0.0000,    1,        44.438,         1,       4,       2,20kPPM_O17_Single_Stroke,       0,       1
   136,    P-2466,   2024/08/28 05:33:31,           1-04,       6,       -15.483,       -23.077,       -48.449,        -3.277,         19575,       0,    1,                                     M10,                                     SPY,                 H2O, 1724823486.49,         0.221,         0.164,         0.326,         0.156,        95.324,        -0.000,         0.002,         1.524,       105.538,        12.218,         2.720,       136.314,         1.025,         1.252,        0.0000,        0.0000,    1,        44.438,         1,       4,       2,20kPPM_O17_Single_Stroke,       0,       1
   137,    P-2466,   2024/08/28 05:42:46,           1-04,       7,       -15.439,       -23.065,       -48.592,        -3.238,         19466,       0,    1,                                     M10,                                     SPY,                 H2O, 1724824041.33,         0.213,         0.172,         0.305,         0.145,        94.997,         0.000,         0.001,         1.514,       104.932,        12.303,         2.685,       135.189,         1.026,         1.184,       -0.0000,        0.0000,    1,        44.438,         1,       4,       2,20kPPM_O17_Single_Stroke,       0,       1
   138,    P-2466,   2024/08/28 05:52:02,           1-04,       8,       -15.474,       -23.079,       -48.523,        -3.266,         19512,       0,    1,                                     M10,                                     SPY,                 H2O, 1724824596.61,         0.216,         0.170,         0.298,         0.160,        93.357,         0.000,        -0.000,         1.492,       105.125,        12.225,         2.714,       136.108,         1.022,         1.350,       -0.0000,        0.0000,    1,        44.375,         1,       4,       2,20kPPM_O17_Single_Stroke,       0,       1
   139,    P-2466,   2024/08/28 06:01:17,           1-04,       9,       -15.469,       -23.073,       -48.581,        -3.264,         19532,       0,    1,                                     M10,                                     SPY,                 H2O, 1724825152.47,         0.229,         0.184,         0.320,         0.156,        94.926,        -0.001,         0.000,         1.516,       105.315,        12.115,         2.712,       136.195,         1.026,         1.232,       -0.0000,        0.0000,    1,        44.500,         1,       4,       2,20kPPM_O17_Single_Stroke,       0,       1
   140,    P-2466,   2024/08/28 06:10:35,           1-04,      10,       -15.426,       -23.043,       -48.605,        -3.237,         19490,       0,    1,                                     M10,                                     SPY,                 H2O, 1724825705.49,         0.215,         0.170,         0.315,         0.154,        95.464,        -0.000,         0.002,         1.582,       105.105,        12.171,         2.702,       135.429,         1.023,         1.211,       -0.0000,        0.0000,    1,        44.438,         1,       4,       2,20kPPM_O17_Single_Stroke,       0,       1
   141,    P-2466,   2024/08/28 06:19:50,           1-04,      11,       -15.501,       -23.119,       -48.553,        -3.272,         19504,       0,    1,                                     M10,                                     SPY,                 H2O, 1724826265.10,         0.219,         0.168,         0.312,         0.155,        94.372,        -0.000,        -0.000,         1.504,       105.059,        12.092,         2.725,       136.483,         1.022,         1.424,       -0.0000,        0.0000,    1,        44.500,         1,       4,       2,20kPPM_O17_Single_Stroke,       0,       1
   142,    P-2466,   2024/08/28 06:29:05,           1-04,      12,       -15.485,       -23.116,       -48.659,        -3.258,         19423,       0,    1,                                     M10,                                     SPY,                 H2O, 1724826815.84,         0.214,         0.166,         0.304,         0.158,        90.589,        -0.000,        -0.000,         1.512,       104.702,        12.248,         2.681,       134.830,         1.025,         1.167,        0.0000,        0.0000,    1,        44.500,         1,       4,       2,20kPPM_O17_Single_Stroke,       0,       1
   143,    P-2466,   2024/08/28 06:38:20,           1-04,      13,       -15.491,       -23.108,       -48.638,        -3.268,         19368,       0,    1,                                     M10,                                     SPY,                 H2O, 1724827375.27,         0.232,         0.171,         0.340,         0.170,        93.041,         0.001,         0.002,         1.488,       104.311,        12.112,         2.694,       135.161,         1.024,         1.321,       -0.0000,        0.0000,    1,        44.500,         1,       4,       2,20kPPM_O17_Single_Stroke,       0,       1
   144,    P-2466,   2024/08/28 06:47:35,           1-04,      14,       -15.478,       -23.109,       -48.706,        -3.255,         19510,       0,    1,                                     M10,                                     SPY,                 H2O, 1724827930.31,         0.226,         0.161,         0.309,         0.164,        95.460,         0.000,         0.000,         1.521,       105.108,        12.272,         2.705,       135.979,         1.024,         1.287,       -0.0000,       -0.0000,    1,        44.500,         1,       4,       2,20kPPM_O17_Single_Stroke,       0,       1
   145,    P-2466,   2024/08/28 06:56:50,           1-04,      15,       -15.468,       -23.098,       -48.632,        -3.250,         19466,       0,    1,                                     M10,                                     SPY,                 H2O, 1724828485.19,         0.231,         0.164,         0.352,         0.176,        94.870,         0.000,         0.002,         1.523,       104.858,        12.091,         2.716,       136.219,         1.024,         1.400,       -0.0000,        0.0000,    1,        44.500,         1,       4,       2,20kPPM_O17_Single_Stroke,       0,       1
   146,    P-2466,   2024/08/28 07:06:05,           1-04,      16,       -15.481,       -23.116,       -48.651,        -3.253,         19482,       0,    1,                                     M10,                                     SPY,                 H2O, 1724829040.28,         0.227,         0.173,         0.326,         0.160,        94.041,        -0.000,         0.001,         1.508,       104.988,        12.124,         2.716,       135.939,         1.024,         1.330,       -0.0000,        0.0000,    1,        44.562,         1,       4,       2,20kPPM_O17_Single_Stroke,       0,       1
   147,    P-2466,   2024/08/28 07:15:20,           1-04,      17,       -15.477,       -23.128,       -48.692,        -3.243,         19400,       0,    1,                                     M10,                                     SPY,                 H2O, 1724829594.58,         0.224,         0.183,         0.342,         0.168,        94.754,         0.001,         0.002,         1.500,       104.486,        12.110,         2.704,       135.515,         1.025,         1.299,        0.0000,       -0.0000,    1,        44.562,         1,       4,       2,20kPPM_O17_Single_Stroke,       0,       1
   148,    P-2466,   2024/08/28 07:24:35,           1-04,      18,       -15.494,       -23.158,       -48.789,        -3.244,         19394,       0,    1,                                     M10,                                     SPY,                 H2O, 1724830146.25,         0.234,         0.190,         0.317,         0.160,        92.301,        -0.000,        -0.000,         1.544,       104.326,        12.441,         2.688,       135.230,         1.026,         1.369,       -0.0000,       -0.0000,    1,        44.500,         1,       4,       2,20kPPM_O17_Single_Stroke,       0,       1
   149,    P-2466,   2024/08/28 07:33:51,           1-04,      19,       -15.483,       -23.092,       -48.690,        -3.269,         19343,       0,    1,                                     M10,                                     SPY,                 H2O, 1724830705.97,         0.227,         0.165,         0.326,         0.166,        92.101,        -0.000,         0.000,         1.480,       104.209,        12.098,         2.685,       134.782,         1.024,         1.276,        0.0000,        0.0000,    1,        44.500,         1,       4,       2,20kPPM_O17_Single_Stroke,       0,       1
   150,    P-2466,   2024/08/28 07:43:06,           1-04,      20,       -15.468,       -23.110,       -48.736,        -3.243,         19456,       0,    1,                                     M10,                                     SPY,                 H2O, 1724831260.61,         0.220,         0.173,         0.293,         0.155,        94.758,        -0.000,         0.000,         1.512,       104.792,        12.157,         2.709,       135.910,         1.024,         1.355,       -0.0000,        0.0000,    1,        44.562,         1,       4,       2,20kPPM_O17_Single_Stroke,       0,       1
   151,    P-2466,   2024/08/28 07:52:21,           1-04,      21,       -15.453,       -23.074,       -48.713,        -3.248,         19399,       0,    1,                                     M10,                                     SPY,                 H2O, 1724831816.29,         0.227,         0.174,         0.306,         0.161,        94.899,        -0.000,        -0.000,         1.509,       104.543,        12.209,         2.682,       134.885,         1.026,         1.241,       -0.0000,        0.0000,    1,        44.500,         1,       4,       2,20kPPM_O17_Single_Stroke,       0,       1
   152,    P-2466,   2024/08/28 08:01:37,           1-04,      22,       -15.446,       -23.088,       -48.737,        -3.233,         19397,       0,    1,                                     M10,                                     SPY,                 H2O, 1724832371.84,         0.222,         0.162,         0.321,         0.163,        94.949,         0.001,         0.002,         1.504,       104.512,        12.197,         2.687,       135.003,         1.024,         1.269,        0.0000,       -0.0000,    1,        44.500,         1,       4,       2,20kPPM_O17_Single_Stroke,       0,       1
   153,    P-2466,   2024/08/28 08:10:52,           1-04,      23,       -15.439,       -23.131,       -48.819,        -3.203,         19405,       0,    1,                                     M10,                                     SPY,                 H2O, 1724832927.39,         0.253,         0.197,         0.345,         0.174,        93.269,         0.000,        -0.000,         1.487,       104.474,        12.265,         2.692,       135.502,         1.024,         1.277,        0.0000,       -0.0001,    1,        44.500,         1,       4,       2,20kPPM_O17_Single_Stroke,       0,       1
   154,    P-2466,   2024/08/28 08:20:08,           1-04,      24,       -15.484,       -23.121,       -48.745,        -3.254,         19399,       0,    1,                                     M10,                                     SPY,                 H2O, 1724833483.13,         0.242,         0.189,         0.323,         0.170,        92.874,        -0.000,         0.001,         1.496,       104.504,        12.119,         2.696,       135.378,         1.026,         1.292,       -0.0000,        0.0000,    1,        44.562,         1,       4,       2,20kPPM_O17_Single_Stroke,       0,       1
   155,    P-2466,   2024/08/28 08:29:23,           1-04,      25,       -15.440,       -23.102,       -48.838,        -3.220,         19365,       0,    1,                                     M10,                                     SPY,                 H2O, 1724834038.05,         0.210,         0.165,         0.377,         0.159,        95.944,         0.000,         0.002,         1.535,       104.304,        12.163,         2.686,       135.084,         1.024,         1.234,        0.0000,       -0.0000,    1,        44.562,         1,       4,       2,20kPPM_O17_Single_Stroke,       0,       1
   156,    P-2466,   2024/08/28 08:38:38,           1-04,      26,       -15.440,       -23.065,       -48.763,        -3.240,         19428,       0,    1,                                     M10,                                     SPY,                 H2O, 1724834592.93,         0.225,         0.175,         0.322,         0.155,        94.353,        -0.000,         0.001,         1.504,       104.729,        12.083,         2.698,       135.403,         1.025,         1.234,        0.0000,        0.0000,    1,        44.562,         1,       4,       2,20kPPM_O17_Single_Stroke,       0,       1
   157,    P-2466,   2024/08/28 08:47:53,           1-04,      27,       -15.476,       -23.139,       -48.829,        -3.236,         19446,       0,    1,                                     M10,                                     SPY,                 H2O, 1724835143.99,         0.212,         0.172,         0.325,         0.148,        92.908,        -0.001,        -0.001,         1.558,       104.710,        12.223,         2.707,       135.902,         1.025,         1.316,        0.0000,       -0.0000,    1,        44.562,         1,       4,       2,20kPPM_O17_Single_Stroke,       0,       1
   158,    P-2466,   2024/08/28 08:57:08,           1-04,      28,       -15.470,       -23.084,       -48.731,        -3.260,         19347,       0,    1,                                     M10,                                     SPY,                 H2O, 1724835703.02,         0.205,         0.163,         0.276,         0.146,        93.670,        -0.000,         0.000,         1.505,       104.213,        12.179,         2.680,       134.740,         1.024,         1.262,        0.0000,        0.0000,    1,        44.562,         1,       4,       2,20kPPM_O17_Single_Stroke,       0,       1
   159,    P-2466,   2024/08/28 09:06:23,           1-04,      29,       -15.460,       -23.070,       -48.696,        -3.257,         19343,       0,    1,                                     M10,                                     SPY,                 H2O, 1724836254.32,         0.236,         0.180,         0.320,         0.161,        92.479,         0.000,         0.001,         1.537,       104.219,        12.132,         2.683,       134.616,         1.026,         1.290,        0.0000,        0.0000,    1,        44.500,         1,       4,       2,20kPPM_O17_Single_Stroke,       0,       1
   160,    P-2466,   2024/08/28 09:15:39,           1-04,      30,       -15.480,       -23.099,       -48.751,        -3.262,         19391,       0,    1,                                     M10,                                     SPY,                 H2O, 1724836809.47,         0.217,         0.162,         0.327,         0.164,        91.208,        -0.000,        -0.001,         1.510,       104.486,        12.013,         2.695,       135.464,         1.023,         1.283,       -0.0000,        0.0000,    1,        44.500,         1,       4,       2,20kPPM_O17_Single_Stroke,       0,       1
   161,    P-2466,   2024/08/28 09:24:54,           1-04,      31,       -15.486,       -23.091,       -48.671,        -3.272,         19384,       0,    1,                                     M10,                                     SPY,                 H2O, 1724837369.25,         0.197,         0.149,         0.297,         0.143,        93.891,        -0.000,         0.000,         1.504,       104.408,        12.054,         2.701,       135.399,         1.022,         1.339,       -0.0000,        0.0000,    1,        44.500,         1,       4,       2,20kPPM_O17_Single_Stroke,       0,       1
   162,    P-2466,   2024/08/28 09:34:10,           1-04,      32,       -15.486,       -23.113,       -48.805,        -3.260,         19406,       0,    1,                                     M10,                                     SPY,                 H2O, 1724837924.69,         0.241,         0.173,         0.328,         0.173,        93.582,         0.000,         0.002,         1.508,       104.520,        11.975,         2.716,       135.977,         1.021,         1.415,        0.0000,        0.0000,    1,        44.500,         1,       4,       2,20kPPM_O17_Single_Stroke,       0,       1
